Name,W,L,Pct,Sets,Aces,Aces_PS,Assists,Assists_PS,Block Solos,Block Assists,Blocks_PS,Digs,Digs_PS,Kills,Errors,Total Attacks,Hitting_Pct,Kills,Kills_PS,Aces,Aces_PS,Digs,Digs_PS
A&M-Corpus Christi,19,10,0.655,103,151,1.47,1265,12.28,73,182,1.59,1612,15.65,1380,495,3615,0.245,1380,13.4,151,1.47,1612,15.65
Abilene Christian,9,15,0.375,86,98,1.14,1041,12.1,15,256,1.66,1394,16.21,1124,531,3251,0.182,1124,13.07,98,1.14,1394,16.21
Air Force,7,21,0.25,101,139,1.38,1050,10.4,40,351,2.13,1133,11.22,1160,567,3140,0.189,1160,11.49,139,1.38,1133,11.22
Akron,10,20,0.333,115,144,1.25,1242,10.8,53,343,1.95,1646,14.31,1389,645,4199,0.177,1389,12.08,144,1.25,1646,14.31
Alabama,10,20,0.333,108,137,1.27,1176,10.89,59,277,1.83,1544,14.3,1295,645,3822,0.17,1295,11.99,137,1.27,1544,14.30
Alabama A&M,5,23,0.179,94,114,1.21,659,7.01,41,157,1.27,1007,10.71,753,563,2682,0.071,753,8.01,114,1.21,1007,10.71
Alabama St.,17,17,0.5,123,210,1.71,1289,10.48,89,260,1.78,1521,12.37,1422,647,3761,0.206,1422,11.56,210,1.71,1521,12.37
Alcorn,4,24,0.143,99,121,1.22,887,8.96,37,144,1.1,1379,13.93,989,695,3461,0.085,989,9.99,121,1.22,1379,13.93
American,19,14,0.576,128,184,1.44,1365,10.66,38,436,2,1933,15.1,1507,638,4408,0.197,1507,11.77,184,1.44,1933,15.10
App State,7,22,0.241,109,130,1.19,1097,10.06,56,246,1.64,1440,13.21,1219,647,3709,0.154,1219,11.18,130,1.19,1440,13.21
Arizona,17,16,0.515,117,165,1.41,1334,11.4,57,376,2.09,1567,13.39,1478,619,3926,0.219,1478,12.63,165,1.41,1567,13.39
Arizona St.,14,17,0.452,126,159,1.26,1426,11.32,63,346,1.87,1827,14.5,1527,589,4282,0.219,1527,12.12,159,1.26,1827,14.50
Ark.-Pine Bluff,18,16,0.529,115,182,1.58,1223,10.63,107,276,2.13,1975,17.17,1339,623,4213,0.17,1339,11.64,182,1.58,1975,17.17
Arkansas,20,11,0.645,116,187,1.61,1472,12.69,39,379,1.97,1778,15.33,1587,623,4309,0.224,1587,13.68,187,1.61,1778,15.33
Arkansas St.,15,14,0.517,114,111,0.97,1360,11.93,74,381,2.32,2067,18.13,1461,643,4466,0.183,1461,12.82,111,0.97,2067,18.13
Army West Point,17,9,0.654,99,125,1.26,1120,11.31,69,285,2.14,1557,15.73,1225,563,3466,0.191,1225,12.37,125,1.26,1557,15.73
Auburn,13,15,0.464,103,101,0.98,1073,10.42,43,417,2.44,1633,15.85,1189,450,3647,0.203,1189,11.54,101,0.98,1633,15.85
Austin Peay,21,12,0.636,125,178,1.42,1519,12.15,80,358,2.07,1944,15.55,1662,619,4485,0.233,1662,13.3,178,1.42,1944,15.55
Ball St.,30,4,0.882,129,166,1.29,1656,12.84,89,347,2.03,2047,15.87,1776,543,4646,0.265,1776,13.77,166,1.29,2047,15.87
Baylor,22,6,0.786,103,110,1.07,1285,12.48,69,394,2.58,1390,13.5,1432,478,3391,0.281,1432,13.9,110,1.07,1390,13.50
Bellarmine,6,22,0.214,104,122,1.17,1117,10.74,30,208,1.29,1498,14.4,1200,629,3614,0.158,1200,11.54,122,1.17,1498,14.40
Belmont,9,20,0.31,104,119,1.14,1080,10.38,46,327,2.01,1414,13.6,1155,578,3582,0.161,1155,11.11,119,1.14,1414,13.60
Bethune-Cookman,6,21,0.222,90,99,1.1,669,7.43,80,238,2.21,1106,12.29,775,471,2749,0.111,775,8.61,99,1.10,1106,12.29
Binghamton,7,17,0.292,86,118,1.37,762,8.86,27,266,1.86,1160,13.49,843,500,2882,0.119,843,9.8,118,1.37,1160,13.49
Boise St.,24,11,0.686,129,228,1.77,1451,11.25,56,605,2.78,1642,12.73,1623,550,4187,0.256,1623,12.58,228,1.77,1642,12.73
Boston College,17,17,0.5,127,175,1.38,1454,11.45,80,364,2.06,1733,13.65,1579,708,4265,0.204,1579,12.43,175,1.38,1733,13.65
Bowling Green,21,9,0.7,109,161,1.48,1380,12.66,55,398,2.33,1805,16.56,1490,489,4030,0.248,1490,13.67,161,1.48,1805,16.56
Bradley,17,15,0.531,125,156,1.25,1479,11.83,55,362,1.89,2078,16.62,1575,676,4582,0.196,1575,12.6,156,1.25,2078,16.62
Brown,20,6,0.769,92,138,1.5,1117,12.14,51,356,2.49,1478,16.07,1235,419,3270,0.25,1235,13.42,138,1.50,1478,16.07
Bryant,21,11,0.656,118,159,1.35,1411,11.96,51,381,2.05,1789,15.16,1550,701,4262,0.199,1550,13.14,159,1.35,1789,15.16
Bucknell,7,18,0.28,89,122,1.37,892,10.02,20,229,1.51,1338,15.03,990,514,3080,0.155,990,11.12,122,1.37,1338,15.03
Buffalo,13,17,0.433,119,142,1.19,1395,11.72,49,358,1.92,1717,14.43,1510,589,4275,0.215,1510,12.69,142,1.19,1717,14.43
Butler,16,16,0.5,113,135,1.19,1327,11.74,47,404,2.2,1918,16.97,1457,620,4396,0.19,1457,12.89,135,1.19,1918,16.97
BYU,30,2,0.938,107,191,1.79,1364,12.75,46,429,2.43,1460,13.64,1502,399,3345,0.33,1502,14.04,191,1.79,1460,13.64
Cal Poly,15,16,0.484,112,146,1.3,1338,11.95,59,359,2.13,1668,14.89,1452,555,4049,0.222,1452,12.96,146,1.30,1668,14.89
Cal St. Fullerton,12,15,0.444,101,118,1.17,1264,12.51,34,271,1.68,1966,19.47,1348,559,4276,0.185,1348,13.35,118,1.17,1966,19.47
California,7,24,0.226,105,130,1.24,1077,10.26,47,296,1.86,1423,13.55,1163,564,3435,0.174,1163,11.08,130,1.24,1423,13.55
California Baptist,13,11,0.542,85,152,1.79,1011,11.89,29,280,1.99,1271,14.95,1084,435,3046,0.213,1084,12.75,152,1.79,1271,14.95
Campbell,21,10,0.677,115,174,1.51,1313,11.42,43,376,2.01,1847,16.06,1445,673,4197,0.184,1445,12.57,174,1.51,1847,16.06
Canisius,11,18,0.379,113,167,1.48,1242,10.99,45,351,1.95,1848,16.35,1361,552,4154,0.195,1361,12.04,167,1.48,1848,16.35
Central Ark.,7,18,0.28,88,111,1.26,936,10.64,35,352,2.4,1162,13.2,998,470,2956,0.179,998,11.34,111,1.26,1162,13.20
Central Conn. St.,9,17,0.346,101,148,1.47,1034,10.24,81,343,2.5,1443,14.29,1136,561,3523,0.163,1136,11.25,148,1.47,1443,14.29
Central Mich.,13,17,0.433,112,135,1.21,1451,12.96,55,260,1.65,2100,18.75,1572,622,4537,0.209,1572,14.04,135,1.21,2100,18.75
Charleston So.,9,17,0.346,95,147,1.55,1036,10.91,35,196,1.4,1165,12.26,1143,577,3156,0.179,1143,12.03,147,1.55,1165,12.26
Charlotte,12,13,0.48,91,137,1.51,1080,11.87,59,309,2.35,1373,15.09,1176,397,3217,0.242,1176,12.92,137,1.51,1373,15.09
Chattanooga,11,19,0.367,116,135,1.16,1232,10.62,49,361,1.98,1952,16.83,1350,584,4245,0.18,1350,11.64,135,1.16,1952,16.83
Chicago St.,17,11,0.607,104,155,1.49,1241,11.93,58,283,1.92,1610,15.48,1400,582,3792,0.216,1400,13.46,155,1.49,1610,15.48
Cincinnati,19,9,0.679,113,177,1.57,1439,12.73,43,280,1.62,1806,15.98,1536,662,4109,0.213,1536,13.59,177,1.57,1806,15.98
Clemson,12,18,0.4,107,122,1.14,1213,11.34,59,272,1.82,1425,13.32,1339,525,3638,0.224,1339,12.51,122,1.14,1425,13.32
Cleveland St.,8,21,0.276,106,141,1.33,1069,10.08,51,270,1.75,1368,12.91,1155,596,3434,0.163,1155,10.9,141,1.33,1368,12.91
Coastal Carolina,19,9,0.679,101,168,1.66,1189,11.77,86,339,2.53,1351,13.38,1319,472,3365,0.252,1319,13.06,168,1.66,1351,13.38
Col. of Charleston,16,12,0.571,112,195,1.74,1214,10.84,28,404,2.05,1692,15.11,1332,591,3881,0.191,1332,11.89,195,1.74,1692,15.11
Colgate,18,10,0.643,101,127,1.26,1096,10.85,50,351,2.23,1341,13.28,1240,484,3414,0.221,1240,12.28,127,1.26,1341,13.28
Colorado,15,14,0.517,107,123,1.15,1267,11.84,58,391,2.37,1642,15.35,1405,518,3805,0.233,1405,13.13,123,1.15,1642,15.35
Colorado St.,19,11,0.633,112,208,1.86,1310,11.7,54,320,1.91,1442,12.88,1427,551,3654,0.24,1427,12.74,208,1.86,1442,12.88
Columbia,5,19,0.208,85,100,1.18,1014,11.93,49,226,1.91,1305,15.35,1089,496,3131,0.189,1089,12.81,100,1.18,1305,15.35
Coppin St.,16,12,0.571,104,182,1.75,1147,11.03,29,262,1.54,1709,16.43,1272,552,3778,0.191,1272,12.23,182,1.75,1709,16.43
Cornell,7,15,0.318,77,115,1.49,895,11.62,28,258,2.04,1258,16.34,974,403,2870,0.199,974,12.65,115,1.49,1258,16.34
Creighton,31,4,0.886,116,192,1.66,1482,12.78,58,546,2.85,2069,17.84,1630,558,4371,0.245,1630,14.05,192,1.66,2069,17.84
CSU Bakersfield,18,11,0.621,111,176,1.59,1239,11.16,44,389,2.15,1562,14.07,1378,575,3804,0.211,1378,12.41,176,1.59,1562,14.07
CSUN,7,23,0.233,113,134,1.19,1207,10.68,62,293,1.85,1595,14.12,1328,652,3993,0.169,1328,11.75,134,1.19,1595,14.12
Dartmouth,15,8,0.652,93,136,1.46,1091,11.73,45,217,1.65,1629,17.52,1202,469,3555,0.206,1202,12.92,136,1.46,1629,17.52
Davidson,14,13,0.519,101,131,1.3,1195,11.83,42,371,2.25,1728,17.11,1291,543,3874,0.193,1291,12.78,131,1.30,1728,17.11
Dayton,26,6,0.813,115,216,1.88,1383,12.03,39,500,2.51,1676,14.57,1535,604,4053,0.23,1535,13.35,216,1.88,1676,14.57
Delaware,15,13,0.536,102,220,2.16,1162,11.39,41,359,2.16,1299,12.74,1269,543,3385,0.214,1269,12.44,220,2.16,1299,12.74
Delaware St.,26,5,0.839,105,227,2.16,1329,12.66,54,306,1.97,1493,14.22,1430,583,3510,0.241,1430,13.62,227,2.16,1493,14.22
Denver,23,6,0.793,104,202,1.94,1303,12.53,31,383,2.14,1396,13.42,1431,524,3453,0.263,1431,13.76,202,1.94,1396,13.42
DePaul,19,12,0.613,115,116,1.01,1410,12.26,67,338,2.05,1827,15.89,1553,643,4312,0.211,1553,13.5,116,1.01,1827,15.89
Drake,11,15,0.423,100,137,1.37,1115,11.15,51,440,2.71,1635,16.35,1196,552,3682,0.175,1196,11.96,137,1.37,1635,16.35
Duke,16,13,0.552,102,174,1.71,1101,10.79,55,323,2.12,1416,13.88,1236,496,3445,0.215,1236,12.12,174,1.71,1416,13.88
Duquesne,13,16,0.448,114,150,1.32,1319,11.57,48,334,1.89,1739,15.25,1406,636,3997,0.193,1406,12.33,150,1.32,1739,15.25
East Carolina,9,20,0.31,104,124,1.19,1071,10.3,52,299,1.94,1519,14.61,1181,483,3596,0.194,1181,11.36,124,1.19,1519,14.61
Eastern Ill.,11,18,0.379,109,168,1.54,1219,11.18,23,363,1.88,1516,13.91,1295,669,3830,0.163,1295,11.88,168,1.54,1516,13.91
Eastern Ky.,10,21,0.323,122,132,1.08,1345,11.02,46,298,1.6,1710,14.02,1450,717,4151,0.177,1450,11.89,132,1.08,1710,14.02
Eastern Mich.,9,20,0.31,110,142,1.29,1221,11.1,61,346,2.13,1612,14.65,1312,599,3801,0.188,1312,11.93,142,1.29,1612,14.65
Eastern Wash.,11,14,0.44,94,168,1.79,958,10.19,32,228,1.55,1251,13.31,1091,527,3081,0.183,1091,11.61,168,1.79,1251,13.31
Elon,17,11,0.607,101,160,1.58,1155,11.44,39,371,2.22,1391,13.77,1259,447,3276,0.248,1259,12.47,160,1.58,1391,13.77
ETSU,11,17,0.393,99,127,1.28,1186,11.98,50,244,1.74,1619,16.35,1266,579,3781,0.182,1266,12.79,127,1.28,1619,16.35
Evansville,21,12,0.636,118,214,1.81,1485,12.58,39,334,1.75,1681,14.25,1607,570,4168,0.249,1607,13.62,214,1.81,1681,14.25
Fairfield,24,9,0.727,116,143,1.23,1465,12.63,70,468,2.62,1823,15.72,1571,563,3996,0.252,1571,13.54,143,1.23,1823,15.72
Fairleigh Dickinson,8,20,0.286,102,130,1.27,1046,10.25,45,268,1.75,1521,14.91,1146,553,3669,0.162,1146,11.24,130,1.27,1521,14.91
FGCU,27,6,0.818,108,156,1.44,1321,12.23,45,487,2.67,1489,13.79,1430,476,3595,0.265,1430,13.24,156,1.44,1489,13.79
FIU,9,13,0.409,80,108,1.35,872,10.9,32,341,2.53,1153,14.41,940,461,2765,0.173,940,11.75,108,1.35,1153,14.41
Fla. Atlantic,11,14,0.44,90,136,1.51,1034,11.49,36,294,2.03,1166,12.96,1101,585,3042,0.17,1101,12.23,136,1.51,1166,12.96
Florida,22,9,0.71,106,151,1.42,1401,13.22,46,466,2.63,1580,14.91,1492,465,3545,0.29,1492,14.08,151,1.42,1580,14.91
Florida A&M,25,7,0.781,113,218,1.93,1391,12.31,64,198,1.44,1770,15.66,1542,562,3854,0.254,1542,13.65,218,1.93,1770,15.66
Florida St.,20,10,0.667,108,156,1.44,1249,11.56,47,337,2,1730,16.02,1393,473,3896,0.236,1393,12.9,156,1.44,1730,16.02
Fordham,10,20,0.333,112,135,1.21,1248,11.14,24,433,2.15,1798,16.05,1364,597,4067,0.189,1364,12.18,135,1.21,1798,16.05
Fresno St.,12,14,0.462,97,179,1.85,1063,10.96,48,340,2.25,1128,11.63,1146,528,3102,0.199,1146,11.81,179,1.85,1128,11.63
Furman,9,20,0.31,108,144,1.33,1155,10.69,65,264,1.82,1705,15.79,1234,687,3864,0.142,1234,11.43,144,1.33,1705,15.79
Ga. Southern,17,11,0.607,107,162,1.51,1200,11.21,79,304,2.16,1598,14.93,1318,525,3755,0.211,1318,12.32,162,1.51,1598,14.93
Gardner-Webb,7,19,0.269,90,135,1.5,960,10.67,32,168,1.29,1426,15.84,1046,598,3327,0.135,1046,11.62,135,1.50,1426,15.84
George Mason,5,22,0.185,99,138,1.39,1027,10.37,47,227,1.62,1378,13.92,1135,559,3388,0.17,1135,11.46,138,1.39,1378,13.92
George Washington,2,25,0.074,92,121,1.32,772,8.39,39,270,1.89,1236,13.43,870,526,3080,0.112,870,9.46,121,1.32,1236,13.43
Georgetown,7,22,0.241,110,151,1.37,1118,10.16,43,351,1.99,1688,15.35,1228,638,3935,0.15,1228,11.16,151,1.37,1688,15.35
Georgia,12,17,0.414,114,167,1.46,1324,11.61,28,442,2.18,1473,12.92,1418,597,3725,0.22,1418,12.44,167,1.46,1473,12.92
Georgia St.,8,20,0.286,116,141,1.22,1271,10.96,69,397,2.31,1712,14.76,1372,686,4100,0.167,1372,11.83,141,1.22,1712,14.76
Georgia Tech,26,6,0.813,112,141,1.26,1557,13.9,74,329,2.13,1697,15.15,1700,576,3861,0.291,1700,15.18,141,1.26,1697,15.15
Gonzaga,9,20,0.31,99,165,1.67,1002,10.12,43,240,1.65,1185,11.97,1082,481,3074,0.196,1082,10.93,165,1.67,1185,11.97
Grambling,11,17,0.393,103,121,1.17,890,8.64,71,203,1.67,1557,15.12,1018,595,3510,0.121,1018,9.88,121,1.17,1557,15.12
Grand Canyon,19,7,0.731,92,168,1.83,1105,12.01,72,208,1.91,1516,16.48,1196,500,3431,0.203,1196,13,168,1.83,1516,16.48
Green Bay,15,16,0.484,122,211,1.73,1437,11.78,16,412,1.82,1792,14.69,1537,661,4337,0.202,1537,12.6,211,1.73,1792,14.69
Hampton,3,20,0.13,84,116,1.38,807,9.61,38,250,1.94,1221,14.54,890,475,3001,0.138,890,10.6,116,1.38,1221,14.54
Hartford,7,18,0.28,84,105,1.25,810,9.64,44,253,2.03,1280,15.24,882,495,3053,0.127,882,10.5,105,1.25,1280,15.24
Harvard,10,13,0.435,95,150,1.58,1070,11.26,36,328,2.11,1256,13.22,1170,530,3140,0.204,1170,12.32,150,1.58,1256,13.22
Hawaii,22,8,0.733,107,106,0.99,1368,12.79,83,381,2.56,1669,15.6,1485,534,3882,0.245,1485,13.88,106,0.99,1669,15.60
High Point,24,7,0.774,107,175,1.64,1367,12.78,39,325,1.88,1736,16.22,1458,479,3836,0.255,1458,13.63,175,1.64,1736,16.22
Hofstra,15,14,0.517,108,165,1.53,1228,11.37,50,412,2.37,1540,14.26,1318,656,3789,0.175,1318,12.2,165,1.53,1540,14.26
Holy Cross,2,25,0.074,95,123,1.29,811,8.54,34,200,1.41,1315,13.84,914,536,3240,0.117,914,9.62,123,1.29,1315,13.84
Houston,25,7,0.781,123,205,1.67,1473,11.98,86,383,2.26,1986,16.15,1630,606,4527,0.226,1630,13.25,205,1.67,1986,16.15
Houston Christian,21,9,0.7,108,130,1.2,1234,11.43,60,463,2.7,1830,16.94,1362,585,4017,0.193,1362,12.61,130,1.20,1830,16.94
Howard,18,13,0.581,112,262,2.34,1201,10.72,54,306,1.85,1526,13.63,1311,550,3636,0.209,1311,11.71,262,2.34,1526,13.63
Idaho,5,20,0.2,91,121,1.33,915,10.05,28,330,2.12,1115,12.25,1014,537,2970,0.161,1014,11.14,121,1.33,1115,12.25
Idaho St.,7,21,0.25,108,138,1.28,1057,9.79,62,276,1.85,1509,13.97,1169,607,3660,0.154,1169,10.82,138,1.28,1509,13.97
Illinois,22,12,0.647,127,236,1.86,1519,11.96,48,478,2.26,1874,14.76,1668,654,4431,0.229,1668,13.13,236,1.86,1874,14.76
Illinois St.,19,14,0.576,126,152,1.21,1587,12.6,65,494,2.48,1917,15.21,1701,726,4532,0.215,1701,13.5,152,1.21,1917,15.21
Indiana,10,22,0.313,116,136,1.17,1224,10.55,101,260,1.99,1597,13.77,1343,627,4060,0.176,1343,11.58,136,1.17,1597,13.77
Indiana St.,18,13,0.581,119,184,1.55,1358,11.41,46,380,1.98,1934,16.25,1492,596,4432,0.202,1492,12.54,184,1.55,1934,16.25
Iona,10,18,0.357,107,145,1.36,1153,10.78,48,246,1.6,1646,15.38,1256,604,3883,0.168,1256,11.74,145,1.36,1646,15.38
Iowa,6,24,0.2,107,143,1.34,1210,11.31,24,260,1.44,1416,13.23,1323,608,3684,0.194,1323,12.36,143,1.34,1416,13.23
Iowa St.,16,12,0.571,102,137,1.34,1216,11.92,44,407,2.43,1550,15.2,1331,536,3616,0.22,1331,13.05,137,1.34,1550,15.20
IUPUI,5,24,0.172,108,184,1.7,1075,9.95,36,308,1.76,1508,13.96,1171,710,3748,0.123,1171,10.84,184,1.70,1508,13.96
Jackson St.,17,14,0.548,110,219,1.99,1205,10.95,53,230,1.53,1587,14.43,1325,564,3667,0.208,1325,12.05,219,1.99,1587,14.43
Jacksonville,4,24,0.143,103,165,1.6,1030,10,30,261,1.56,1421,13.8,1134,607,3602,0.146,1134,11.01,165,1.60,1421,13.80
Jacksonville St.,25,7,0.781,112,164,1.46,1413,12.62,35,352,1.88,1536,13.71,1540,553,3706,0.266,1540,13.75,164,1.46,1536,13.71
James Madison,17,7,0.708,88,133,1.51,1007,11.44,66,306,2.49,1234,14.02,1081,407,2855,0.236,1081,12.28,133,1.51,1234,14.02
Kansas,18,12,0.6,114,134,1.18,1302,11.42,92,423,2.66,1630,14.3,1429,568,3933,0.219,1429,12.54,134,1.18,1630,14.30
Kansas City,21,10,0.677,116,182,1.57,1438,12.4,38,354,1.85,1863,16.06,1546,566,4258,0.23,1546,13.33,182,1.57,1863,16.06
Kansas St.,15,13,0.536,107,143,1.34,1294,12.09,27,444,2.33,1532,14.32,1391,600,3809,0.208,1391,13,143,1.34,1532,14.32
Kennesaw St.,20,9,0.69,108,196,1.81,1285,11.9,44,400,2.26,1470,13.61,1405,582,3735,0.22,1405,13.01,196,1.81,1470,13.61
Kent St.,12,18,0.4,117,141,1.21,1363,11.65,55,418,2.26,1812,15.49,1446,596,4107,0.207,1446,12.36,141,1.21,1812,15.49
Kentucky,25,5,0.833,106,148,1.4,1383,13.05,38,430,2.39,1483,13.99,1518,456,3530,0.301,1518,14.32,148,1.40,1483,13.99
Lafayette,15,10,0.6,93,141,1.52,1158,12.45,57,218,1.78,1344,14.45,1263,504,3348,0.227,1263,13.58,141,1.52,1344,14.45
Lamar University,4,22,0.154,90,102,1.13,939,10.43,34,206,1.52,1429,15.88,1002,530,3272,0.144,1002,11.13,102,1.13,1429,15.88
Lehigh,8,19,0.296,107,147,1.37,1110,10.37,25,411,2.15,1458,13.63,1238,599,3660,0.175,1238,11.57,147,1.37,1458,13.63
Liberty,10,14,0.417,93,129,1.39,1005,10.81,35,332,2.16,1296,13.94,1096,559,3096,0.173,1096,11.78,129,1.39,1296,13.94
Lipscomb,14,13,0.519,101,203,2.01,1202,11.9,42,285,1.83,1238,12.26,1314,567,3352,0.223,1314,13.01,203,2.01,1238,12.26
Little Rock,14,15,0.483,106,168,1.58,1280,12.08,36,418,2.31,1705,16.08,1362,614,3974,0.188,1362,12.85,168,1.58,1705,16.08
LIU,13,14,0.481,100,148,1.48,1053,10.53,34,266,1.67,1579,15.79,1171,502,3533,0.189,1171,11.71,148,1.48,1579,15.79
LMU (CA),17,11,0.607,108,190,1.76,1276,11.81,46,380,2.19,1197,11.08,1399,564,3311,0.252,1399,12.95,190,1.76,1197,11.08
Long Beach St.,16,15,0.516,115,126,1.1,1373,11.94,47,357,1.96,1707,14.84,1527,614,3925,0.233,1527,13.28,126,1.10,1707,14.84
Louisiana,15,11,0.577,102,154,1.51,1199,11.75,54,304,2.02,1638,16.06,1294,472,3570,0.23,1294,12.69,154,1.51,1638,16.06
Louisiana Tech,9,19,0.321,98,129,1.32,970,9.9,68,263,2.04,1621,16.54,1074,511,3707,0.152,1074,10.96,129,1.32,1621,16.54
Louisville,32,1,0.97,113,190,1.68,1384,12.25,101,474,2.99,1468,12.99,1541,487,3548,0.297,1541,13.64,190,1.68,1468,12.99
Loyola Chicago,22,10,0.688,122,153,1.25,1569,12.86,71,478,2.54,1843,15.11,1681,669,4312,0.235,1681,13.78,153,1.25,1843,15.11
Loyola Maryland,17,11,0.607,102,157,1.54,1264,12.39,27,317,1.82,1878,18.41,1392,585,4015,0.201,1392,13.65,157,1.54,1878,18.41
LSU,13,14,0.481,109,141,1.29,1264,11.6,62,433,2.56,1542,14.15,1401,523,3724,0.236,1401,12.85,141,1.29,1542,14.15
Manhattan,2,20,0.091,72,87,1.21,633,8.79,24,172,1.53,1031,14.32,684,434,2499,0.1,684,9.5,87,1.21,1031,14.32
Marist,17,13,0.567,119,171,1.44,1359,11.42,46,316,1.71,1902,15.98,1478,680,4300,0.186,1478,12.42,171,1.44,1902,15.98
Marquette,26,6,0.813,113,189,1.67,1446,12.8,52,403,2.24,1754,15.52,1584,523,4078,0.26,1584,14.02,189,1.67,1754,15.52
Marshall,9,16,0.36,103,119,1.16,1128,10.95,46,430,2.53,1577,15.31,1207,493,3547,0.201,1207,11.72,119,1.16,1577,15.31
Maryland,19,13,0.594,112,160,1.43,1224,10.93,47,603,3.11,1778,15.88,1338,551,3930,0.2,1338,11.95,160,1.43,1778,15.88
McNeese,18,11,0.621,104,160,1.54,1245,11.97,60,352,2.27,1327,12.76,1332,593,3352,0.22,1332,12.81,160,1.54,1327,12.76
Memphis,13,19,0.406,119,132,1.11,1376,11.56,58,373,2.05,1927,16.19,1485,706,4418,0.176,1485,12.48,132,1.11,1927,16.19
Mercer,16,12,0.571,98,158,1.61,1128,11.51,47,324,2.13,1558,15.9,1233,506,3555,0.205,1233,12.58,158,1.61,1558,15.90
Merrimack,0,29,0,89,107,1.2,613,6.89,31,96,0.89,985,11.07,677,446,2678,0.086,677,7.61,107,1.20,985,11.07
Miami (FL),25,5,0.833,107,142,1.33,1345,12.57,38,492,2.65,1627,15.21,1453,500,3897,0.245,1453,13.58,142,1.33,1627,15.21
Miami (OH),7,21,0.25,110,116,1.05,1182,10.75,49,288,1.75,1643,14.94,1299,592,3854,0.183,1299,11.81,116,1.05,1643,14.94
Michigan,18,12,0.6,109,169,1.55,1272,11.67,51,391,2.26,1603,14.71,1422,480,3765,0.25,1422,13.05,169,1.55,1603,14.71
Michigan St.,11,18,0.379,105,157,1.5,1245,11.86,39,411,2.33,1394,13.28,1323,585,3523,0.209,1323,12.6,157,1.50,1394,13.28
Middle Tenn.,9,12,0.429,83,131,1.58,927,11.17,38,174,1.51,1151,13.87,998,465,2774,0.192,998,12.02,131,1.58,1151,13.87
Milwaukee,22,9,0.71,115,179,1.56,1542,13.41,45,270,1.57,1801,15.66,1639,531,4029,0.275,1639,14.25,179,1.56,1801,15.66
Minnesota,22,9,0.71,117,155,1.32,1463,12.5,45,489,2.47,1982,16.94,1578,558,4377,0.233,1578,13.49,155,1.32,1982,16.94
Mississippi St.,25,6,0.806,125,155,1.24,1559,12.47,28,441,1.99,1797,14.38,1718,652,4415,0.241,1718,13.74,155,1.24,1797,14.38
Mississippi Val.,2,21,0.087,74,96,1.3,471,6.36,26,109,1.09,874,11.81,528,386,2189,0.065,528,7.14,96,1.30,874,11.81
Missouri,5,26,0.161,110,132,1.2,1201,10.92,54,326,1.97,1465,13.32,1293,575,3725,0.193,1293,11.75,132,1.20,1465,13.32
Missouri St.,17,13,0.567,110,152,1.38,1301,11.83,63,348,2.15,1707,15.52,1402,579,3923,0.21,1402,12.75,152,1.38,1707,15.52
Montana,11,16,0.407,102,137,1.34,1138,11.16,30,345,1.99,1451,14.23,1261,545,3551,0.202,1261,12.36,137,1.34,1451,14.23
Montana St.,15,14,0.517,116,147,1.27,1366,11.78,30,468,2.28,1638,14.12,1463,589,3944,0.222,1463,12.61,147,1.27,1638,14.12
